username,display_name,platform,niche,sub_niche,followers,avg_views,engagement_rate,avg_likes,avg_comments,past_brands,content_style,posting_frequency,audience_age_group,audience_gender_split,country,commission_rate,avg_order_value,conversion_rate,tiktok_shop_enabled,bio_summary
@beautymarks_di,Diana Okafor,youtube,beauty,makeup,756000,378000,7.8,29500,4800,"Fenty Beauty,MAC,Pat McGrath,Morphe,ColourPop",tutorial,3x-week,18-34,91F/9M,US,11,55.00,4.1,no,"Nigerian-American makeup artist specializing in tutorials for dark skin tones. Her shade-matching content fills a massive gap in the beauty space. Known for her honest foundation reviews and her popular 'Dupe or Delusion' series comparing drugstore to luxury products."
@gains_with_grace,Grace Park,tiktok,fitness,crossfit,198000,143000,13.2,18900,2600,"NOBULL,Rogue Fitness,RXBAR,Reebok",motivational,daily,18-34,60F/40M,US,9,82.00,3.9,yes,"Former D1 athlete turned CrossFit competitor who shares WODs and nutrition tips. Her raw and unfiltered approach to fitness content has built a loyal community. Particularly strong engagement from both men and women in the functional fitness space."
@homechef_dan,Daniel Park,youtube,food,cooking,534000,267000,6.9,18400,3700,"Made In Cookware,Kenji's Serious Eats,ThermoWorks,Imperfect Foods",long-form,2x-week,25-44,48M/52F,US,7,72.00,3.4,no,"Korean-American home cook who brings restaurant techniques into everyday cooking. His 'Technique Tuesday' series teaches fundamental cooking skills like knife work and sauce building. Audience appreciates his scientific approach to recipe development."
@skincarebysana,Sana Mirza,instagram,beauty,skincare,412000,165000,9.8,40400,3200,"La Roche-Posay,Paula's Choice,Supergoop,Drunk Elephant",educational,daily,18-24,85F/15M,CA,12,48.00,5.2,yes,"Pharmacy student who reviews skincare through a science-first lens. Her ingredient breakdowns and routine-building guides are cited by dermatologists. Extremely high trust and conversion rates because her audience sees her as an authority rather than an influencer."
@pixelcraft_zoe,Zoe Williams,twitch,tech,gaming,345000,87000,7.5,26000,5100,"Razer,Corsair,HyperX,Elgato,Secretlab",streaming,daily,18-24,35F/65M,US,8,110.00,3.6,no,"Variety streamer and PC build enthusiast who reviews gaming peripherals with actual benchmarks. Her 'Budget Build Challenge' series where she builds gaming PCs under $500 has a cult following. One of the few female tech reviewers with strong credibility in the PC gaming space."
@plantbasedpaul,Paul Greenfield,youtube,food,vegan,267000,133000,8.4,11200,2800,"Beyond Meat,Oatly,Miyoko's,Purple Carrot",educational,3x-week,25-44,58F/42M,US,9,55.00,3.7,no,"Former butcher turned vegan chef who creates plant-based versions of classic comfort foods. His 'Veganize It' series challenges the assumption that vegan food can't be satisfying. Audience includes both committed vegans and flexitarians exploring plant-based options."
@luxe_travel_em,Emily Sato,instagram,lifestyle,travel,890000,312000,5.6,49800,3100,"Away,Marriott Bonvoy,Rimowa,AMEX Travel",aesthetic,3x-week,25-44,76F/24M,US,6,185.00,2.1,no,"Luxury travel content creator who focuses on boutique hotels and off-the-beaten-path destinations. Her trip planning guides and packing content drive strong affiliate revenue. Audience is affluent millennials who value experiences over things."
@nailart_rosa,Rosa Martinez,tiktok,beauty,nails,534000,389000,10.8,42000,5600,"OPI,Olive & June,Dazzle Dry,Gelish",tutorial,daily,18-24,94F/6M,US,11,32.00,6.8,yes,"Self-taught nail artist whose intricate designs and easy-to-follow tutorials make professional-looking nails accessible at home. Her 'Salon vs DIY' comparison series and seasonal nail art collections consistently go viral. Audience is young women who want salon results on a budget."
@codewith_priya,Priya Sharma,youtube,tech,coding,312000,156000,7.1,11100,2200,"GitHub,AWS,Codecademy,Figma",tutorial,2x-week,18-34,42F/58M,IN,7,35.00,3.3,no,"Full-stack developer and tech educator who creates project-based coding tutorials. Her 'Zero to Deployed' series walks beginners through building complete web apps. Known for making complex concepts accessible and for her supportive Discord community of 15K developers."
@bodybybritt,Brittany Cole,instagram,fitness,yoga,445000,178000,9.1,40500,3200,"Alo Yoga,Manduka,CorePower,YogaGlo",aesthetic,daily,25-34,90F/10M,US,12,65.00,5.4,yes,"500-hour certified yoga instructor who blends traditional practice with modern fitness. Her morning flow series and 30-day yoga challenges have built a dedicated community. Particularly strong performer for athleisure and wellness product affiliates."
@sneakerhead_tony,Tony Williams,tiktok,fashion,sneakers,478000,334000,8.3,39300,4500,"StockX,GOAT,Nike SNKRS,Foot Locker",review,daily,18-24,72M/28F,US,9,165.00,4.7,yes,"Sneaker culture commentator who covers drops, restocks, and resale market analysis. His 'Cop or Drop' series and authentication guides are go-to resources in the sneaker community. Strong influence on purchase decisions for hype and general release sneakers alike."
@wellness_with_ava,Ava Johansson,instagram,lifestyle,wellness,367000,146000,8.7,31900,2800,"Moon Juice,Sakara Life,Goop,Seed",aesthetic,daily,25-34,88F/12M,US,10,72.00,4.3,yes,"Holistic wellness creator who covers adaptogens, meditation, and clean beauty. Her 'Sunday Reset' content series and supplement reviews have high save and share rates. Audience is health-conscious women willing to invest in premium wellness products."
@gadgetguru_raj,Raj Patel,youtube,tech,smartphones,678000,339000,5.9,20000,4700,"OnePlus,Spigen,ESR,Caseology",review,2x-week,18-34,79M/21F,IN,7,95.00,3.2,no,"India's most trusted smartphone reviewer who focuses on value-for-money picks. His comparison videos between flagship killers and premium phones help his audience make informed decisions. Known for real-world battery and camera tests rather than just spec sheets."
@bakewithanna,Anna Kowalski,tiktok,food,baking,412000,298000,11.7,34900,5100,"KitchenAid,King Arthur Flour,Wilton,Nielsen-Massey",tutorial,5x-week,18-34,82F/18M,US,9,45.00,4.8,yes,"Pastry chef turned content creator who makes elaborate baking accessible with her step-by-step tutorials. Her 'Bake Along' live sessions and holiday cookie collections drive massive engagement. Audience loves her encouraging teaching style and foolproof recipes."
@sustainablestyle_,Mia Chen,instagram,fashion,sustainable,298000,119000,10.2,30400,2600,"Everlane,Reformation,Girlfriend Collective,Veja",educational,daily,25-34,87F/13M,US,11,85.00,4.6,no,"Sustainability advocate who proves ethical fashion doesn't have to be boring. Her capsule wardrobe guides and brand transparency reports are widely shared. Audience is environmentally conscious women who want to shop more intentionally without sacrificing style."
@hiit_with_hassan,Hassan Ali,youtube,fitness,hiit,234000,117000,7.6,8900,1800,"Under Armour,Optimum Nutrition,Fitbit,Hydro Flask",tutorial,3x-week,18-34,55M/45F,UK,8,58.00,3.5,no,"Former Royal Marines fitness instructor who creates no-equipment HIIT workouts anyone can do at home. His 'Apartment Friendly' series targets people who can't get to a gym. Known for workouts that are tough but realistic for everyday people, not just fitness models."
@vintagevibes_lu,Luna Delgado,tiktok,fashion,vintage,345000,249000,11.4,39400,4800,"Etsy,Depop,Beyond Retro,The RealReal",haul,daily,18-24,86F/14M,US,10,42.00,5.7,yes,"Vintage fashion curator who sources unique pieces from estate sales, flea markets, and online shops. Her 'Era Breakdown' educational series covering fashion history from the 60s through Y2K has built a passionate niche following. Audience loves her styling tips for incorporating vintage into modern wardrobes."
@proteinchef_sam,Sam Torres,tiktok,food,high-protein,356000,256000,9.6,24600,3400,"Fairlife,Quest,Kodiak Cakes,Magic Spoon",recipe,daily,18-34,52M/48F,US,10,48.00,4.9,yes,"Fitness enthusiast and self-taught cook who creates high-protein versions of comfort foods. His 'Macro Friendly Meals' series proves you don't need to eat bland chicken and rice to hit your protein goals. Audience is gym-goers and athletes who want tasty food that fits their macros."
@dermdoctor_amy,Dr. Amy Liu,instagram,beauty,dermatology,534000,213000,6.4,34200,3800,"EltaMD,SkinCeuticals,Vanicream,Aquaphor",educational,3x-week,25-44,80F/20M,US,8,62.00,3.4,no,"Board-certified dermatologist who debunks skincare myths and reviews products with clinical evidence. Her 'Derm Reacts' videos analyzing other creators' routines are hugely popular. Audience trusts her medical expertise and her recommendations carry significant weight in purchase decisions."
@budgetfashion_tk,Tanya Kim,tiktok,fashion,budget,412000,297000,10.9,43700,4500,"Shein,Amazon Fashion,Target Style,H&M",haul,daily,18-24,91F/9M,US,8,28.00,7.1,yes,"Budget fashion creator who proves you can look designer on a student budget. Her Amazon and Target haul videos consistently go viral, and her audience trusts her picks because she only shows items she'd actually wear. Known for her honest sizing reviews and return-worthy callouts."
@mindful_marcus,Marcus Johnson,youtube,lifestyle,mental-health,278000,139000,8.9,12400,3200,"BetterHelp,Calm,Headspace,Athletic Greens",long-form,2x-week,25-44,45M/55F,US,9,55.00,3.1,no,"Former corporate burnout turned mental health advocate who creates content about anxiety management, therapy, and mindful living. His vulnerability and authenticity have built deep trust with his audience. Particularly strong engagement on content about workplace mental health and men's emotional wellness."
@glam_by_destiny,Destiny Brown,tiktok,beauty,makeup,623000,448000,10.3,46100,6200,"NYX,e.l.f.,Rare Beauty,About Face",grwm,daily,18-24,93F/7M,US,12,38.00,5.9,yes,"Get-ready-with-me queen whose energetic personality and flawless blending have built a massive following. Her drugstore makeup challenges and 'I Spent $20 at Target' series prove luxury looks don't need luxury prices. Audience is Gen Z women who want affordable glam."
@homegym_heroes,Ryan O'Brien,youtube,fitness,home-gym,189000,94000,7.8,7300,1500,"REP Fitness,Rogue,Titan Fitness,Bells of Steel",review,2x-week,25-44,82M/18F,US,8,245.00,2.8,no,"Home gym enthusiast who reviews equipment with detailed measurements, load tests, and long-term durability updates. His garage gym transformation series inspired thousands of followers to build their own setups during the pandemic. Audience trusts his engineering-minded approach to equipment reviews."
@matcha.ritual,Yuki Tanaka,instagram,food,beverages,198000,79000,12.8,25300,2100,"Ippodo Tea,Fellow,Balmuda,Chamberlain Coffee",aesthetic,daily,18-24,79F/21M,JP,11,45.00,5.3,yes,"Japanese matcha enthusiast creating calming ceremonial preparation content and matcha recipe innovations. Her aesthetic flat-lays and ASMR preparation videos have carved a devoted niche. Audience is wellness-focused young adults who see matcha as a lifestyle, not just a drink."
@techsavvy_lisa,Lisa Park,tiktok,tech,productivity,267000,192000,8.1,21600,2900,"Notion,Logitech,Apple,Autonomous",tips,daily,25-34,62F/38M,US,8,85.00,3.8,yes,"Former product manager turned productivity content creator who reviews tools, apps, and desk setups. Her 'Notion Template' series and 'WFH Setup Tours' consistently drive high engagement. Audience is young professionals optimizing their workflows and home offices."
@curlqueen_nat,Natasha Williams,youtube,beauty,haircare,445000,222000,8.5,18900,3400,"SheaMoisture,Olaplex,Dyson,Pattern Beauty",tutorial,2x-week,18-34,94F/6M,US,10,52.00,4.4,no,"Natural hair educator who creates wash day routines, protective style tutorials, and product reviews for type 3 and 4 hair. Her 'Curl Type Guide' video has become the go-to resource for women starting their natural hair journey. Audience is Black women looking for honest haircare recommendations."
@streetfit_kai,Kai Nakamura,instagram,fitness,calisthenics,267000,107000,9.4,25100,2300,"Gornation,THENX,Muscle & Strength,Barefoot Shoes",motivational,daily,18-24,68M/32F,US,9,55.00,3.7,no,"Calisthenics athlete who went from zero pull-ups to muscle-ups in one year, documenting the entire journey. His progressive skill tutorials and park workout videos inspire beginners to start bodyweight training. Audience loves his approachable personality and step-by-step progressions."
@interiorsby_jade,Jade Mitchell,instagram,lifestyle,home-decor,478000,191000,7.2,34400,3100,"West Elm,CB2,Article,Anthropologie Home",aesthetic,daily,25-44,84F/16M,US,7,120.00,3.2,no,"Interior designer who shares budget-friendly room makeovers and DIY projects. Her 'Rental Friendly' series helps apartment dwellers transform their spaces without losing their deposit. Audience is millennial women furnishing their first homes or wanting to refresh their spaces affordably."
@cleaneating_chris,Chris Hammond,youtube,food,health,312000,156000,7.3,11400,2200,"Vital Proteins,Daily Harvest,RXBAR,Hu Kitchen",recipe,2x-week,25-34,48M/52F,US,8,55.00,3.6,no,"Former college athlete who creates clean eating recipes that actually taste good and don't take hours to make. His 'Meal Prep Sunday' series and grocery haul breakdowns help busy professionals eat well without spending all weekend cooking. Practical approach resonates with his audience."
@lashqueen_mimi,Mimi Zhao,tiktok,beauty,lashes,389000,280000,11.1,31100,4300,"Kiss Lashes,Lashify,Doe Lashes,Ardell",tutorial,daily,18-24,95F/5M,US,13,28.00,7.4,yes,"Lash application specialist whose before-and-after transformations and easy application techniques have made false lashes less intimidating. Her 'Lash School' series and comparisons between drugstore and luxury lashes are her most-shared content. Converts viewers into buyers at an exceptionally high rate."
@runwithreese,Reese Chapman,tiktok,fitness,running,178000,128000,10.7,19200,2100,"Brooks Running,Nuun,Garmin,Tracksmith",vlog,daily,18-34,56F/44M,US,10,95.00,3.9,yes,"Marathon runner and running coach who creates training plans, gear reviews, and race-day vlogs. Her 'Couch to Marathon' series following beginners through their first 26.2 has an incredibly engaged comment section. Audience ranges from brand-new runners to Boston qualifiers."
@minimalist_mike,Mike Andersen,youtube,lifestyle,minimalism,234000,117000,8.2,9600,2100,"Aer,Bellroy,Patagonia,Muji",long-form,weekly,25-44,58M/42F,US,7,85.00,3.3,no,"Former overconsumer turned minimalist who documents intentional living. His declutter challenges, capsule wardrobe content, and thoughtful product reviews attract people looking to simplify. Audience is willing to pay more for fewer, higher-quality items."
@spicymaya_eats,Maya Krishnan,tiktok,food,indian,298000,214000,10.4,30900,3700,"Diaspora Co,iShopIndian,Instant Pot,Misen",recipe,daily,18-34,71F/29M,US,9,42.00,4.6,yes,"Indian-American home cook who makes traditional Indian recipes approachable for beginners. Her 'Indian Cooking 101' series breaks down essential spices, techniques, and pantry staples. Audience includes both South Asian diaspora reconnecting with their food culture and non-Indian home cooks wanting to expand their repertoire."
@gamingwithzara,Zara Ahmed,twitch,tech,gaming,267000,67000,8.8,23500,4200,"SteelSeries,ASUS ROG,Gfuel,Secretlab",streaming,daily,18-24,40F/60M,UK,8,95.00,3.4,no,"Competitive FPS gamer and streamer who creates in-depth game guides and settings breakdowns. Her 'Settings That Actually Matter' series cuts through the noise of gaming optimization content. Known for her technical knowledge and entertaining commentary during ranked gameplay."
@plus_size_style,Jordan Taylor,instagram,fashion,plus-size,356000,142000,9.7,34600,3100,"Torrid,Eloquii,Universal Standard,Good American",haul,daily,25-34,93F/7M,US,10,68.00,4.8,yes,"Plus-size fashion creator who champions size-inclusive style with confidence. Her try-on hauls and honest fit reviews help her audience find clothes that actually work for their bodies. Known for calling out brands with poor size ranges and celebrating those doing it right."
@biotech_ben,Ben Weiss,youtube,tech,biotech,156000,78000,6.7,5200,1400,"23andMe,Benchling,Nature Biotechnology,LabX",educational,weekly,25-44,52M/48F,US,5,45.00,2.1,no,"PhD biotechnologist who explains cutting-edge biotech breakthroughs in plain English. His 'Paper Breakdown' series translating dense research papers into accessible content has earned respect from both scientists and curious laypeople. Niche but highly educated and affluent audience."
@sunset_yoga_co,Camila Rojas,tiktok,fitness,yoga,312000,225000,10.1,31500,3100,"Vuori,Cotopaxi,Hydro Flask,Spiritual Gangster",aesthetic,daily,18-34,88F/12M,US,11,62.00,4.7,yes,"Outdoor yoga instructor who films stunning flow sequences in nature. Her sunset beach sessions and mountain top practices have created a unique visual brand. Audience sees yoga as part of an active outdoor lifestyle, making them responsive to both fitness and travel brand partnerships."
@datascience_dee,Deepa Rao,youtube,tech,data-science,289000,144000,6.5,9400,2100,"DataCamp,Snowflake,Tableau,O'Reilly Media",tutorial,2x-week,18-34,44F/56M,IN,6,55.00,2.7,no,"Data scientist at a Fortune 500 who creates weekend tutorials on Python, SQL, and machine learning. Her 'Real World Data Science' series using actual business problems instead of toy datasets resonates with aspiring data professionals. Known for her clear explanations and practical portfolio project ideas."
@grillmaster_pete,Pete Johnson,youtube,food,grilling,234000,117000,7.9,9200,1800,"Weber,Traeger,Meater,Kingsford",review,2x-week,35-54,78M/22F,US,8,125.00,3.2,no,"Backyard BBQ enthusiast who reviews grills, smokers, and accessories with hands-on cook tests. His 'Low and Slow' smoking series and holiday grilling guides drive strong seasonal engagement. Audience is suburban dads willing to invest in quality outdoor cooking equipment."
@asmr_skincare_vi,Violet Chen,tiktok,beauty,skincare-asmr,445000,320000,9.5,42700,3800,"Glow Recipe,Laneige,Kiehl's,Fresh",asmr,daily,18-24,82F/18M,US,10,48.00,4.9,yes,"ASMR skincare creator whose satisfying product application videos make viewers want to buy everything she touches. Her evening routine videos and product texture reviews combine relaxation content with genuine skincare education. Uniquely high save rates suggest strong purchase intent from her audience."
@diy_dad_builds,Tom Baker,youtube,lifestyle,diy,378000,189000,6.8,12900,2400,"Ryobi,Home Depot,Kreg,Rockler",tutorial,2x-week,25-54,72M/28F,US,7,95.00,3.0,no,"Carpenter and father of two who creates detailed woodworking and home improvement tutorials for beginners. His 'Weekend Project' series turns intimidating builds into manageable Saturday activities. Audience is new homeowners and hobby woodworkers who appreciate his safety-first teaching approach."
@fashionforward_aj,AJ Brooks,tiktok,fashion,menswear,289000,208000,9.3,27000,3200,"Banana Republic,Todd Snyder,Huckberry,Bonobos",grwm,daily,18-34,35F/65M,US,9,92.00,4.1,yes,"Men's style creator who makes fashion approachable for guys who have no idea what they're doing. His 'Dress Better in 5 Minutes' series and seasonal capsule wardrobe guides help men upgrade their style without overthinking it. Audience is young professional men who want to look put-together."
@smoothie_queen,Tara Osei,tiktok,food,smoothies,198000,143000,12.4,24600,2800,"Nutribullet,Sunwarrior,Navitas,Daily Harvest",recipe,daily,18-24,85F/15M,US,11,38.00,5.5,yes,"Nutritionist and smoothie obsessive who creates recipes targeting specific health goals like energy, immunity, and gut health. Her 'What I Actually Eat' series and morning routine content showcases smoothies as part of a holistic wellness lifestyle. Audience is health-conscious Gen Z women."
@watch_collector_h,Henry Kim,youtube,fashion,watches,178000,89000,6.1,5400,1600,"Hodinkee,Crown & Caliber,Barton Bands,Wolf",review,weekly,25-54,85M/15F,US,6,320.00,2.4,no,"Watch enthusiast who reviews timepieces from $50 Casios to $5000 Omegas with equal enthusiasm. His 'Best Watch Under' series at every price point helps collectors at all budgets make informed purchases. Audience is affluent men passionate about horology and willing to make considered luxury purchases."
@momfit_jessica,Jessica Huang,instagram,fitness,postpartum,234000,93000,11.2,26200,2400,"Kindred Bravely,Bodily,Frida Mom,4moms",educational,daily,25-34,96F/4M,US,12,55.00,5.1,yes,"Postpartum fitness specialist and certified pre/postnatal trainer who creates safe return-to-exercise content for new moms. Her pelvic floor series and diastasis recti recovery program have helped thousands of mothers. Audience deeply trusts her expertise and recommends her content to other new moms."
